Authors,Title,Year,Author Keywords,Abstract,Document Type,ID
"Newman R., Chang V., Walters R.J., Wills G.",How to Analyze Data from Unlisted but Rich Firms: From the Perspective of Data and Analysis,2018.0,big data; big data analytics; data; data analysis; Datastream; finance; financial data; financial data analysis; financial technologies; fintech,"This article illustrates the importance of gathering and analyzing preprocessing data for unlisted but rich firms such as venture capital firms. Using datasets from three major sources, the authors demonstrate how to query and analyze data using both Datastream and SQL. © 1999-2012 IEEE.",Article,2-s2.0-85045649757
"Tsaih R.-H., Kuo B.-S., Lin T.-H., Hsu C.-C.",The Use of Big Data Analytics to Predict the Foreign Exchange Rate Based on Public Media: A Machine-Learning Experiment,2018.0,big data; big data analysis; big data analytics; financial technologies; FinTech; foreign exchange rate; IT Professional; Machine Learning; Text Mining,The authors analyze relevant public information provided by new media to predict the movement of the USD/TWD exchange rate and explore whether big data analytics with machine-learning modeling can exceed the random walk mechanism and the notion of market efficiency. © 1999-2012 IEEE.,Article,2-s2.0-85045681058
"Gatteschi V., Lamberti F., Demartini C., Pranteda C., Santamaria V.",To Blockchain or Not to Blockchain: That Is the Question,2018.0,bitcoin; blockchain; blockchain and insurance; cryptocurrency; financial technologies; fintech; insurance; smart contracts,"Blockchain has been considered a breakthrough technology-but does your company need it? In this article, the authors discuss the advantages and disadvantages of blockchain technology using examples from the insurance sector, which can be generalized and applied to other sectors. © 1999-2012 IEEE.",Article,2-s2.0-85045649731
"Tarnaud A.C., Leleu H.",Portfolio analysis with DEA: Prior to choosing a model,2018.0,Data envelopment analysis; Mean–variance; Model orientation; Portfolio frontier; Risk preferences,"This paper aims at providing answers to the questions raised in Cook et al. (2014) in the context of portfolio analysis with Data Envelopment Analysis (DEA). This reflection leads to define the financial production process as the generation of a distribution of returns by an initial investment. The main contribution of the paper is therefore to consider risks of various orders – mean return, variance of returns, and moments of higher order – as output variables and propose a set of axioms accordingly to supplement the definition of ‘financial’ technology set. In particular, this revisited set of axioms offers the advantage of allowing a generalization to multi-moment frameworks, and the resulting portfolio possibility set allows taking into account preferences for increases in risk that have remained ignored in applied studies with DEA although discussed in economic theory. We provide illustrations to show the effects of this contribution on the measures of technical efficiency and ranking of portfolios on a sample set of US common stocks; it shows how the proposed adjustments result in providing rankings that are more consistent with standard risk-return ratios in finance. © 2017 Elsevier Ltd",Article,2-s2.0-85016551075
"Sekantsi L.P., Lechesa M.E.","The national payment system in lesotho, 2000–2016",2018.0,Clearing and settlement systems; Lesotho; Mobile money; Payment; Remittances,"Prior to 2000, the payment, clearing and settlement system in Lesotho relied upon manual processes.To address this, a programme to modernise the system and provide better support for the circulation of funds in the economy was initiated. The initiative, which ran between 2000 and 2015, revolutionised the country’s payment, clearing and settlement system. Lesotho now boasts an efficient and safe payment, clearing and settlement system that supports monetary policy and fosters financial stability and financial inclusion, along with other economic benefits. The work, however, is not over. Due to the changing needs and emerging challenges within the country, the modernisation of the payment, clearing and settlement system is an ongoing process. Furthermore, it is necessary for the system to align with regional and international standards in order to facilitate international trade and investment. Likewise, it is essential to keep the legal and regulatory framework up to date in order to respond to the rapid changes in financial technology and innovation, as well as to avoid regulatory arbitrage. © Henry Stewart Publications, 1750-1806.",Article,2-s2.0-85059074714
Zeilinger M.,Digital Art as ‘Monetised Graphics’: Enforcing Intellectual Property on the Blockchain,2018.0,Art market; Blockchain; Copyright; Digital art; Digital rights management; Financialisation; Intellectual property; Monegraph,"In a global economic landscape of hyper-commodification and financialisation, efforts to assimilate digital art into the high-stakes commercial art market have so far been rather unsuccessful, presumably because digital artworks cannot easily assume the status of precious object worthy of collection. This essay explores the use of blockchain technologies in attempts to create proprietary digital art markets in which uncommodifiable digital artworks are financialised as artificially scarce commodities. Using the decentralisation techniques and distributed database protocols underlying current cryptocurrency technologies, such efforts, exemplified here by the platform Monegraph, tend to be presented as concerns with the interest of digital artists and with shifting ontologies of the contemporary work of art. I challenge this characterisation, and argue, in a discussion that combines aesthetic theory, legal and philosophical theories of intellectual property, rhetorical analysis and research in the political economy of new media, that the formation of proprietary digital art markets by emerging commercial platforms such as Monegraph constitutes a worrisome amplification of long-established, on-going efforts to fence in creative expression as private property. As I argue, the combination of blockchain-based protocols with established ambitions of intellectual property policy yields hybrid conceptual-computational financial technologies (such as self-enforcing smart contracts attached to digital artefacts) that are unlikely to empower artists but which serve to financialise digital creative practices as a whole, curtailing the critical potential of the digital as an inherently dynamic and potentially uncommodifiable mode of production and artistic expression. © 2016, The Author(s).",Article,2-s2.0-85043338162
Docherty A.,How should banks manage the strategic risks associated with new regulations and new sources of competition?,2018.0,Basel IV; Disruption; Fintech; IFRS 9; Regulation; Strategic risk management,"New capital regulations from the Basel Committee and an overhaul of loan accounting standards are leading to a radically different way of assessing the solvency and performance of banks. At the same time, the bases of competition in banking are shifting rapidly, catalysed by the adoption of new technologies. Banks need urgently to adapt to both these sets of strategic changes to preserve short-term shareholder value while maintaining long-term competitiveness and viability. A range of strategic management actions — including some fundamental changes to the business — can be considered. © Henry Stewart Publications 1752-8887 (2018).",Article,2-s2.0-85059233570
Gejke C.,A new season in the risk landscape: Connecting the advancement in technology with changes in customer behaviour to enhance the way risk is measured and managed,2018.0,Behavioural modelling; Blockchain; Cognitive technology; Interest rate risk in the banking book (IRRBB); Liquidity,"The risk management puzzle is becoming more multifaceted with increased focus on geopolitical risks, regulatory changes and new participants entering the financial markets, including Fintech and non-regulated bank-like entities. Customers are also changing their behaviour with the evolving market environment and launch of new financial products and applications. In parallel, the technology scene and IT capabilities have advanced significantly, providing opportunities to create tools that can enhance the way risk is measured and managed. In this new and highly dynamic environment, how can banks best manage risk? A complex challenge is present with numerous paths and buzzwords such as Blockchain, machine learning and robotic process automation (RPA) to navigate. The industry, including the risk management function, needs to embrace the technical environment and recognise both its potential and its limitations. Technology enhancements benefit from a holistic view, combining subject matter expertise across multiple areas. Even the smartest cognitive system requires oversight to ensure relevance of data and the patterns observed to make business decisions. Market movements and concentrations may be ascribed to artificial intelligence and machine learning models going forward, and risk managers need to be able to navigate this space and manage the underlying risk factors. Connecting the dots and recognising that risk comes in multiple shapes and form, it can still be identified along with preventative actions. © Henry Stewart Publications 1752-8887 (2018).",Article,2-s2.0-85059232073
"Stasik A., Wilczyńska E.",How do we study crowdfunding? An overview of methods and introduction to new research agenda,2018.0,Big data; Crowdfunding; Fintech; Internet research; Methodology,"Purpose: Crowdfunding is a global phenomenon of rising significance and impact on different areas of business and social life, investigated across many academic disciplines. The goal of the article is to present the variety of methods applied in crowdfunding research, assess their strengths and weaknesses, offer the typology of methodological approaches, and suggest the most promising direction for further studies. Design/methodology: The paper is based on the review of the most recent academic and industry literature on crowdfunding and own analysis of data presented by crowdfunding platforms’ operators. Findings: The article incorporates interrelations of methods, goals of inquiries, and types of results to propose a typology of methodological approaches that researchers currently apply to crowdfunding: from platformcentred to multisited. The authors discuss the advantages and limitations of the identified approaches with the use of multiple examples of recent and most influential studies from the field and propose the most urgent direction of future inquiries. Research limitations/implications: The overview renders crowdfunding studies more accessible for potential newcomers to the field and strengthens transdisciplinary discussion on crowdfunding. Despite the broad variety of the analyzed articles that reflect the newest trends, the sample is not representative in the statistical meanings of the term. Originality/value: The article offers the first review of methodologies applied in the transdisciplinary area of crowdfunding studies and connects it to broader methodological discussions about transdisciplinary research on the digital phenomena. The review strengthens the transdisciplinary dialog on crowdfunding. © 2018 Authors.",Review,2-s2.0-85059215946
Kapron Z.,From digital payments to digital finance: how china’s tech companies are redefining banking in asia and soon europe,2018.0,Ali-baba; China; Digital money; Mobile payments; Tencent; Wechat,"FinTech has the potential to completely change the way that millions of people handle their daily finances. Nowhere is this more evident than in China, where Alipay and WeChat Pay have changed the nature of retail consumption. This paper looks briefly at the history of the tech giants and their forays into digital finance, and what the future may hold as the giants continue their international expansion. © Henry Stewart Publications, 1750-1806.",Article,2-s2.0-85059176077
"Sinha S., Raj Pandey K., Madan N.",Fintech and the demand side challenge in financial inclusion,2018.0,Digital literacy; Financial inclusion; Fintech,"There is a push for digitizing payments across the board in India. This has picked up steam after the demonetization of large currency notes in November 2016. But how ready and willing are low-income Indians (as well as low-income people in other developing countries) to adopt digital payments? This question needs more thought as there is a range of issues around mobile phone penetration, bank account features, acceptance of digital payments across value chains, and the viability of small transactions. © Practical Action Publishing, 2018.",Article,2-s2.0-85050277842
Huang R.H.,Online P2P Lending and Regulatory Responses in China: Opportunities and Challenges,2018.0,China; Fintech; Internet finance; Online lending; P2P,"As a main form of the Fintech industry, China’s online P2P lending market has undergone a period of explosive growth in the past few years to become the largest in the world, with online lending platforms having mushroomed across the country. This is a consequence of the simultaneous emergence of three key factors, namely deep penetration of internet, large supply of funds and unmet financial needs. The market exhibits several distinctive features in terms of the size of platforms, the level of market concentration and business models. As online lending gathers moment in China, many problems have come into light. China has recently established a relatively complete regulatory regime for online lending, introducing a number of significant changes, such as the restriction on the business model that can be adopted by platforms, registration requirements, custodian requirements, information disclosure requirements and lending limits. The new regime will have far-reaching implications, including a reshuffling of the market and more collaboration between online lending platforms and traditional banks. A comparative analysis of the Chinese experience with those in other jurisdictions such as the US, the UK, Hong Kong and Japan is conducted to examine the extent to which the new regime is likely to achieve a proper balance between its two main objectives, namely facilitating the growth of the online lending market and protecting financial consumers. While the new regime is generally sound, its efficacy will ultimately depend on how it is enforced in practice. © 2018, T.M.C. Asser Press.",Article,2-s2.0-85042640199
Marsal-Llacuna M.-L.,Future living framework: Is blockchain the next enabling network?,2018.0,Blockchain; New urban agenda; Quito implementation plan; Smart cities; Urban networks; Urban technologies,"Blockchain is not the first -and certainly will not be the last- network fever we will experience. This paper shows how blockchain networks will disrupt the urban context as well, similarly to what it is happening in the fintech and insurtech spaces, among many other emerging application domains. We put forward the Future Living Framework as the meta use case of a wider research called Blockchain4Cities. In this use case, which uses UN's New Urban Agenda (NUA) as exemplifying model, we show the benefits of using blockchain in the urban field and we do so by breaking down the NUA in policies, planning, regulations and standards and dissecting these further into Quito's Implementation Plan (QIP) themes and scopes. Use case results confirm that blockchain will disrupt urban networks, like Cybernetics did in 1948, Ekistics a decade later, and the Metabolists and Webbists in the late sixties. The Ubiquitous Computing arrived later, in the seventies, and disrupted all the previous network efforts, lasting until the current Internet of Things (IoT) and its sister concept Smart Cities, when IoT is used in an urban context. Blockchain is here to take on and be the next network for cities. © 2017 Elsevier Inc.",Article,2-s2.0-85037724576
"Yeom H., Choi D., Jung K., Kim S.",A study on big data based non-face-to-face identity proofing model,2018.0,Authorization; Big data; Identity proofing; Non- face-to -face,"Online service providers are increasingly considering the adoption of a variety of additional mechanisms to supplement the authentication security provided by conventional password verification. Recently, the authentication and authorization methods using the user attribute information have been used for various services. In particular, the need for various approaches to non-face-to-face identification technology for online user registering and authentication are increasing demands because of the growth of online financial services and the rapid development of financial technology. However, non-face-to-face approaches can be generally exposed to a greater number of threats than faceto- face approaches. Therefore, identification policies and technologies to verify users by using various factors and channels are being studied in order to complement the risks and to be more reliable non-face-to-face identification methods. One of these new approaches is to collect and verify a large number of personal information of user. Thus, we propose a big-data based non-face-to-face Identity Proofing model that verifies identity on online based on various and large amount of information of user. The proposed model performs identification of various attribute information required for the identity verification level. In addition, the proposed model can be quantified identity proofing reliability as collects and verifies only the user information required for assurance level of identity proofing. © 2005 - ongoing JATIT & LLS.",Article,2-s2.0-85043779026
"Kelana B., Riskinanto A., Hilamawan D.R.",The acceptance of E-payment among Indonesian millennials,2018.0,e-Payment; Millennials; Partial Least Square; Technology Acceptance Model,"Financial technology has become the newest technology advancement being adopted by young people in Indonesia, as it provides simplicity and speed of use. The objective of this study is to explain how e-Payment system is being adopted by the millennial generation in Indonesia. This study applies the Technology Acceptance Model approach and a quantitative method, by analyzing 424 Paytren e-Payment users, born between 1977 and 1998 using Smart PLS 2.0. The results show all independent variables have the significant relationship to dependent variables. Among them, perceived ease of use has the strongest relationship with perceived of the usefulness of e-Payment adoption. Meanwhile, the attitude towards using score shows the best predictive power in this model. The gender was proposed as a moderator variable. However, the findings did not support this role. Compared to e-Payment adoption in Jordan and Greece, this study may provide a new perspective on how e-Payment being adopted by the millennial generation in Indonesia. © 2017 IEEE.",Conference Paper,2-s2.0-85049372986
"Saputra M., Supangkat S.H.",Financial technology business model as branchless banking for people in rural areas: Case study : esia,2018.0,Branchless Banking; e-payment; financial inclusive; Financial technology; rural area; USSD,"One of the factors that cause limited banking services to all corners of society is the lack of infrastructure for Indonesia's natural conditions. Calculation of the economies from the scale of bank operations in an area, is an important factor as illustrated small indicator of the number of banking services such as branches and ATMs for every 1,000 km2 area of the region. Therefore, this study using specialized approach to design business models for electronic payment services use of financial technology appropriate for rural a r e a communities. It is utilizing the principle of branchless banking as well as reviewing relevant aspects of IT risk management and recommended technology information security architectures for the service. In addition, this study also view related to the possibility of financial technology to be one of the payment models that could be used in rural areas. © 2017 IEEE.",Conference Paper,2-s2.0-85049334972
"Wen Y.-T., Yeh P.-W., Tsai T.-H., Peng W.-C., Shuai H.-H.",Customer purchase behavior prediction from payment datasets,2018.0,Customer behavior prediction; Financial technology; Real time advertising,"With the advances in the development of mobile payments, a huge amount of payment data are collected by banks. User payment data offer a good dataset to depict customer behavior patterns. A comprehensive understanding of customers' purchase behavior is crucial to developing good marketing strategies, which may trigger much greater purchase amounts. For example, by exploring customer behavior patterns, given a target store, a set of potential customers is able to be identified. In other words, personalized campaigns at the right time and in the right place can be treated as the last stage of consumption. Here we propose a probability graphical model that exploits the payment data to discover customer purchase behavior in the spatial, temporal, payment amount and product category aspects, named STPC-PGM. As a result, the mobility behavior of an individual user could be predicted with a probabilistic graphical model that accounts for all aspects of each customer's relationship with the payment platform. To achieve real time advertising, we then develop an online framework that efficiently computes the prediction results. Our experiment results show that STPC-PGM is effective in discovering customers' profiling features, and outperforms the state-of-the-art methods in purchase behavior prediction. In addition, the prediction results are being deployed in the marketing of real-world credit card users, and have presented a significant growth in the advertising conversion rate. © 2018 Association for Computing Machinery.",Conference Paper,2-s2.0-85046894220
"Gai K., Qiu M., Sun X.",A survey on FinTech,2018.0,Big data; Cloud computing; Cyber security; Data-driven framework; Financial computing; FinTech,"As a new term in the financial industry, FinTech has become a popular term that describes novel technologies adopted by the financial service institutions. This term covers a large scope of techniques, from data security to financial service deliveries. An accurate and up-to-date awareness of FinTech has an urgent demand for both academics and professionals. This work aims to produce a survey of FinTech by collecting and reviewing contemporary achievements, by which a theoretical data-driven FinTech framework is proposed. Five technical aspects are summarized and involved, which include security and privacy, data techniques, hardware and infrastructure, applications and management, and service models. The main findings of this work are fundamentals of forming active FinTech solutions. © 2017 Elsevier Ltd",Article,2-s2.0-85031996505
"Gifari A., Anggorojati B., Yazid S.",On preventing bitcoin transaction from money laundering in Indonesia: Analysis and recommendation on regulations,2018.0,bitcoin; Indonesia; money laundering; regulation; virtual currency,"Bitcoin is an emerging financial technology that is gaining a lot of popularity all over the world and starting to change the way people make financial transaction. In Indonesia however, bitcoin is more famous for its negative issue, such as money laundering, rather than its usage in financial transaction. One interesting fact to observe is the absence of regulations that explicitly governs the usage of bitcoins. This paper analyzes the factors influencing Indonesian authorities in defining regulations for bitcoins and how the existing regulations left open some opportunities for a bad guy to perform money laundering with the help of bitcoins. A qualitative approach is used in this research for data collection and analysis. Interview with two experts representing bitcoin exchange company and legal consultant was conducted in data collection. The outcome of this research is to find out vulnerabilities in bitcoin that allows money laundering and give suggestions on how to prevent money laundering with bitcoin from the perspective of regulations and bitcoin company in Indonesia. © 2017 IEEE.",Conference Paper,2-s2.0-85050729350
"Oosthuizen M., Scheepers C.",Strategic foresight for organizational agility at Nedbank Area Collaboration,2018.0,Banks/banking; Competitive strategy; Corporate strategy; Decision sciences; Dynamic capabilities; Strategic management/planning,"Subject area: The case study uses a strategic foresight method, scenario-planning, to examine the strategic options for a financial services firm. As such, it covers the fields of strategy, environment of business, innovation, digital disruption and organizational change as they relate to the firm’s ability to adapt to changes in the environment of business in an emerging market context. Study level/applicability: The case was developed with master's-level students in mind, particularly those seeking a master of business administration, masters in strategic foresight or related management degrees. Case overview: The case of NEDBANK, a longstanding and successful financial services firm based in South Africa is confronted with major challenges from competitors because of technological change in the industry as well as having to expand their market penetration across Africa. A rising regulatory burden, tough economic conditions and the need to access low income markets, provide a significant organizational development challenge as a decades-old bank, known for a relational approach to banking, has to navigate the new domains of “fintech”, micro-lending and public sector banking. Expected learning outcomes: Students will gain comprehensive insight into the industry environment in emerging markets, understand the strategic management challenge before financial services firms in this environment and be able to consider the alternative strategic interventions that may be used to ensure corporate sustainability amid these challenges. Simultaneously, the case provides a comprehensive view into the use and application of scenario-planning for strategic management. Supplementary materials: Teaching Notes are available for educators only. Please contact your library to gain login details or email support@emeraldinsight.com to request teaching notes. Subject code: CSS: 11: Strategy. © 2018, Emerald Publishing Limited.",Article,2-s2.0-85081023333
"Liu X., Huang F., Yeung H.",The regulation of illegal fundraising in China,2018.0,China; criminal law; financial markets; financial regulation; illegal fundraising,"The rise of financial technology means that it is easier than ever to raise funds from a large group of people, notably via peer-to-peer lending or crowdfunding platforms. This article seeks to discuss the law on illegal fundraising, which has existed for some time before the boom of the Internet, as a legal response to the increasing number of fundraising from the public. Regulation is necessary to ensure market order and investor protection. Virtually in all markets, there are restrictions on how entities can make a public offer of shares, bonds and/or other investment schemes. There are several laws, most notably criminal law, in China that are relevant to illegal fundraising. An individual/company can potentially breach one or more of these rules as long as they attempt to raise funds from a non-conventional (i.e. not stock markets or banks) route. The worst outcome of this used to be death penalty. There has been a degree of ambiguities in the application of these laws. The article will attempt to clarify these ambiguities. The regulation of illegal fundraising can have a far reaching consequence on the financial markets in China, considering that non-state entities, particularly small and medium-sized enterprises, have limited access to conventional finance. The article will consider whether China is on the right track in terms of regulation to allow alternative fundraising channels to thrive. This article is the first ever to present a holistic account of the regulation of illegal fundraising in China. © 2018, © 2018 School of Law, City University of Hong Kong.",Article,2-s2.0-85054577773
"Azarenkova G., Shkodina I., Samorodov B., Babenko M., Onishchenko I.",The influence of financial technologies on the global financial system stability,2018.0,Cryptocurrencies; Digital economy; Economic bubbles; FinTech,"The analysis of the financial technologies introduction has proved that their application over-complicates the institutional structure of the global financial system. As a result, usual functional relationships cease to operate, new institutes and interdependencies appear, and systemic risks increase. In this context, the system instability increases, resulting in a transition to a new institutional status. The analysis of the financial technologies impact on the stability of financial system shows that the lack of institutional support for new financial technologies is the most important catalyst for the financial industry destabilization and the formation of financial bubbles in various market segments. The ways to reduce the negative impact of financial technologies on the financial system stability (such as development of international prudential standards; revision of the licensing regime for financial companies; “regulatory sandboxes”, which test new technologies, business models and algorithms underlying the Fintech innovations; legal regulation of ownership of digital tokens; and clear definition of the blockchain technology in various areas of life, etc.) have been proposed. © The author(s) 2019.",Article,2-s2.0-85063180055
"Abdullah E.M.E., Rahman A.A., Rahim R.A.",Adoption of financial technology (Fintech) in mutual fund/ unit trust investment among Malaysians: Unified Theory of Acceptance and Use of Technology (UTAUT),2018.0,Financial technology (FinTech); Mutual fund; Unified Theory of Acceptance and Use Technology (UTAUT); Unit trust,"Disruptive innovation is related to financial technology and known as FinTech. It includes design, delivery, and provider of financial investment services such as payments, real estate, investment, insurance/ takaful, deposits, financing, banking, saving and capital market. This study is about Adoption of Financial Technology (FinTech) in mutual fund/ unit trust investment among Malaysians: Unified Theory of Acceptance and Use of Technology (UTAUT). The study aims to identify the level of financial technology consumption in mutual fund/ unit trust among investors in Malaysia. The objectives of this research are: 1) to determine the level of awareness on FinTech application in mutual fund/ unit trust investment; 2) to examine the adoption of FinTech in mutual fund/ unit trust investment. The objectives will explore on how FinTech changes the customers in terms of to what extent Malaysians have adopted FinTech so far. The research methodology in an adoption of FinTech service in mutual fund/ unit trust was conducted through questionnaires survey. This study assists participants in financial service management to take advantage of the opportunities offered by FinTech services. Developing the effective and systematic framework is a must for FinTech service especially in mutual fund/ unit trust investment. Implementation of FinTech will provide service improvement and transformation for investment management services in future. © 2018 Authors.",Article,2-s2.0-85047787061
"Rudskaya I., Goncharova N.L., Temirhanova M.",Review of the Russian Fintech market,2018.0,Crypto currency; FinTech; Money transfer; Online service,"The financial technology market is one of the most interesting and dynamic segments of the financial market in the Russian Federation. Even though the market size is much smaller than that of Europe or the USA, statistics show that Russians are far more open to new technology both in terms of personal and corporate finances. In this situation it seems interesting to look at the Russian financial technology market, which is done in this paper. What is important is that in this article the FinTech market is considered as an integral ecosystem, rather than just a set of individual products. In the conclusion the prospects of the Russian financial technology market are reviewed and forecast is made about its development. © 2018 Elsevier Ltd. All rights reserved.",Conference Paper,2-s2.0-85060798727
Fan P.S.,Singapore Approach to Develop and Regulate FinTech,2018.0,Consumer protection; Financial stability; Financial technology; FinTech; Regulatory Sandbox,"This paper starts with a brief introduction of the recent organizational support established by The Monetary Authority of Singapore (MAS) to promote the fast developing FinTech (financial technology) sector. Basing on its existing ""balanced"" approach in promoting financial development and ensuring a safe and sound financial sector, and in sync with its objective to harness technology to improve the efficiency of the financial markets, the paper elaborates on the insights of MAS' policy intent in regulating the FinTech sector. The paper then focuses on MAS' proposed ""Regulatory Sandbox"" - an innovative regulatory framework which helps to strike a good balance between creating a conducive environment for financial innovation and on the other hand protecting financial consumers and ensuring financial stability. In closing, the paper shares some thought of the writer on MAS' approach and the likely future development of MAS' financial regulation towards financial technology. © 2018 Elsevier Inc. All rights reserved.",Book Chapter,2-s2.0-85054356686
"Vovchenko N.G., Ivanova O.B., Andreeva O.V., Kostoglodova E.D.",Conceptual approach to the development of financial technologies in the context of digitalization of economic processes,2018.0,Bitcoin; Blockchain; Digital economy; Financial technologies,"The successful introduction of the digital economy into the information space of the Russian Federation involves the solution of several problems associated with the transition to a new paradigm of economic development based on the digitization of social and economic processes. At the same time, the existing regulatory mechanisms and legislation do not create optimal conditions for the development of the market of new financial instruments and technologies in Russia today. There are socio-economic risks, the key ones including an increase in the outflow of capital and innovative projects to other countries, a lack of confidence on the part of potential investors in new financial instruments, a decrease in the stability of traditional financial institutions. On this basis, the following tasks have been set in this article. To consider the terminology in the field of digital economy from the theoretical aspect; to identify trends and justify the need for digitalization of economic processes based on the use of new financial technologies; to reveal the informative characteristics of financial technologies promising for Russia. This article ends with a conclusion that the development of the digital economy in Russia is due to the need to ensure the information and economic security of the state, realize the potential of the new economy to improve the standard of living and national well-being through the introduction of innovative communication and financial technologies. The impact of the “digital economy” on socio-economic processes is multifaceted. It is sustainable and permeates all spheres of life, being an integral part of modern society. © 2018 International Strategic Management Association. All rights reserved.",Article,2-s2.0-85063184437
Iman N.,Assessing the dynamics of fintech in Indonesia,2018.0,Adoption; Financial services; Financial technology; Innovation,"Financial technology or commonly known as fintech is relatively a new thing in Indonesia. This article is attempting to capture the dynamics of such technology in Indonesia. This paper was aimed to help researchers and academics who are interested in studying the phenomenon of fintech more broadly. This study is descriptive and exploratory by nature. Data were gathered from secondary sources, as well as interviews with practitioners, policy makers, and users. Data were collected during the period from 2016 to 2018, which was divided into several different stages. The results of the study show that fintech is more than just a phenomenon, it cannot be compared to other start-ups, and has the potential to fundamentally change the business and economic landscape. © Nofie Iman, 2018",Article,2-s2.0-85061947420
"Bukhtiarova A., Hayriyan A., Bort N., Semenog A.",Modeling of FinTech market development (on the example of Ukraine),2018.0,Digital finance; Financial services market; Financial supervision; Financial technologies; FinTech; InsurTech; Investment,"FinTech startups and services are one of the most dynamic segments of the modern economy. New financial technologies have already attracted many investors and form millions of budgets. Changing the traditional financial services concept, FinTech companies formed a new niche within the financial services market, the dynamic development of which determines the relevance of the development and implementation of an effective regulatory and oversight system. The purpose of the article is to develop an economic and mathematical model for forecasting the development of the FinTech market on the example of Ukraine. In order to study the development of the FinTech industry, a multiple regression model was presented. The model describes the dependence of the total investment value of FinTech from venture investments in financial technology, venture investments in other technologies and venture investments in online lending. Based on this model, the effect of attracting investments with new FinTech projects on the total volume of investments in the industry was clarified. According to the model, with a change in investments in FinTech by 1%, the total rate of venture investments decreases by 0.03, funds in new projects of other companies grow by 0.05, and venture investments in online lending increase by 0.89. According to the analysis of regulatory legislation in the foreign countries of the FinTech services sphere, it was found that the regulation of most of the risks associated with the development of FinTech services falls within the competence of different supervisory authorities, requiring cross-sectoral cooperation between public institutions. © Limited Liability Company",Review,2-s2.0-85061932050
"Vovchenko N.G., Andreeva L.Y., Kokhanova V.S., Dzhemaev O.T.",Information and financial technologies in a system of Russian banks’ digitalization: A competency-based approach,2018.0,Banking framework; Blockchain; Competency-based approach; Digital economy; Digitalization; Information and financial technologies,"The development of the digital economy in the context of modern financial globalization is becoming an issue of national security and independence of a country. Promotion of the digital economy in the financial sector is a high-priority task for the short-term perspective. Nicholas Negroponte, an American scientist, first used the concept of “digital economy” in 1995. Since then, this concept has started spreading rapidly with the help of the Internet and has enhanced exchange and storage of information, complex calculations, and computer modeling of engineering facilities. In the new economy, digital platforms are the most open electronic platforms that allow receiving full information about financial institutions and organizations; they are also being developed primarily for the financial sector. The introduction of digital technologies can lead to the reduction of headcount of financial institutions. Digitalization and online publishing of documents related to various tenders and purchases may contribute to the reduction of risks and corruption. © 2018 by Emerald Publishing Limited All rights of reproduction in any form reserved.",Book Chapter,2-s2.0-85064432668
Shaydullina V.K.,Review of institutional and legal issues for the development of the Fintech industry,2018.0,Banking; Blockchain-technologies; Financial technologies; FinTech-branch; Investments,"The aim of the study is to identify institutional and legal methods for the development of the FinTech industry on the basis of a critical analysis of foreign experience in the implementation and practical application of the latest financial technologies. The subject of the study is a complex of relationships associated with the emergence of new financial products, primarily on the basis of the technology of distributed registry (blockchain-technologies) and the transformation of the financial sector in the conditions of dissemination of digital technologies. The methodology of system analysis, the dialectical method and its derivatives, primarily the methods and principles of determinism, induction, deduction and hypothesis, the principle of contradiction as a source of development and the principle of integrity in unity and diversity, were used to study the object of scientific research and to achieve its goals. To systematize the obtained data the methods of functional and institutional classification, statistical analysis, methods of the current and prospective analysis and synthesis of theoretical and practical material were applied. The result of the study is the development of a system of institutional and legal methods for the development of the FinTech sector on the basis of analysis of the best foreign experience. © 2018 International Strategic Management Association. All Rights Reserved.",Article,2-s2.0-85063183558
"Organ J., Stapleton L.",The Control of Human Factors in Catastrophic Financial Systems Risk: A Case Study of the Irish Banking Crisis,2018.0,financial stability; information systems; risk,This paper describes a study which attempts to address the predominant failure to appropriately incorporate human factors in systemic financial systems and utilise important features of advanced control systems. The human factor context loads additional factors into an already complicated financial technology risk management environment. The primary contribution of this paper is to set the findings of a study which address interoperability issues in the management of risk in the international financial domain and provide a basis for new standards which address more holistically human factors in financial systems. © 2016,Article,2-s2.0-85057063169
"Jantarakolica K., Jantarakolica T.",Acceptance of financial technology in Thailand: Case study of algorithm trading,2018.0,Algorithm trading; GLM using Logit; SEM; SET; TAM; Trading strategy,"The rapid change of technology has significantly affected the financial markets in Thailand. In order to enhance the market efficiency and liquidity, the Stock Exchange of Thailand (SET) has granted Thai stock brokers permission to develop and offer their customers algorithm and automatic stock trading. However, algorithm trading on SET was not widely adopted. This chapter intends to design and empirically estimate a model in explaining Thai investors’ acceptance of algorithm trading. The theoretical framework is based on the theory of reasoned action and technology acceptance model (TAM). A sample of 400 investors who have used online stock trading and 300 investors who have used algorithm stock trading were observed and analyzed using structural equations model (SEM) and generalized linear regression model (GLM) with a Logit specification. The results confirm that attitudes, subjective norm, perceived risks, and trust toward algorithm stock trading are factors determining investors’ behavior and acceptance of using algorithm stock trading. Investor’s perception and trust on algorithm stock trading as a trading strategy is a major factor in determining their perceived behavior and control, which affect their decision on whether to invest using algorithm trading. Accordingly, it can be concluded that Thai investors is willing to accept algorithm trading as a new financial technology, but still has concern about the reliability and profitable of this new stock trading strategy. Therefore, algorithm trading can be promoted by building inves-tors’ trust on algorithm trading as a reliable and profitable trading strategy. © 2018 by Emerald Publishing Limited. All rights reserved.",Book Chapter,2-s2.0-85067012174
